Personnel_Type,BSO,Platform,Job_Specialty,Pay_Grade_Level,BA,Onboard,Gap,Model_Criticality_Score
Military,NAVSEA,LPD,OS,E3,19,18,1,72
Military,NAVWAR,LHA,PS,E1,1,3,-2,52
Military,USFF,LCS,OS,E4,12,13,-1,60
Military,NAVSEA,LPD,HM,E4,1,0,1,80
Military,USFF,SHORE,LS,E4,10,9,1,48
Military,NAVSEA,DDG,GM,E5,16,17,-1,72
Military,NAVWAR,LPD,HM,E1,20,21,-1,52
Military,NAVAIR,SHORE,HM,E6,21,23,-2,40
Military,NAVAIR,DDG,HM,E2,11,11,0,52
Military,USFF,LHA,PS,E6,18,20,-2,72
Military,NAVWAR,LHA,CTN,E5,5,4,1,92
Military,NAVAIR,CVN,IT,E4,22,21,1,80
Military,NAVWAR,SHORE,ET,E4,14,13,1,48
Military,CNP,LCS,EN,E5,24,25,-1,72
Military,CNP,DDG,ET,E7,6,8,-2,80
Military,USFF,DDG,HM,E1,12,14,-2,52
Military,NAVWAR,LPD,PS,E5,22,24,-2,72
Military,NAVWAR,LHA,EN,E9,23,21,2,100
Military,NAVWAR,DDG,CTN,E3,9,8,1,72
Military,USFF,DDG,IT,E5,9,11,-2,72
Military,NAVAIR,SHORE,GM,E2,15,13,2,40
Military,USFF,CVN,PS,E8,18,20,-2,80
Military,NAVWAR,SHORE,HM,E6,21,20,1,60
Military,CNP,LHA,LS,E1,15,13,2,72
Military,USFF,DDG,ET,E3,11,12,-1,52
Military,NAVWAR,LPD,ET,E6,9,7,2,92
Military,NAVAIR,LPD,CTN,E5,5,6,-1,72
Military,USFF,LPD,LS,E5,5,5,0,72
Military,NAVAIR,LPD,LS,E5,2,4,-2,72
Military,USFF,SHORE,PS,E3,5,4,1,40
Military,CNP,LCS,PS,E5,10,10,0,72
Military,CNP,LPD,LS,E4,11,10,1,80
Military,NAVAIR,SSN,IT,E5,8,9,-1,72
Military,NAVWAR,SSN,LS,E2,8,10,-2,52
Military,USFF,CVN,OS,E7,5,5,0,80
Military,NAVAIR,SHORE,OS,E5,7,8,-1,40
Military,CNP,LCS,IT,E6,2,1,1,92
